reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,review_date,appVersion
b126c536-fb04-4478-afce-468611a0f0b2,Henok Henokab,Nice,5,0,24.03.04,2024-04-26 04:04:09,24.03.04
ebd421d3-1857-46a0-9a0c-7bf25a64a70e,Nasradin Ahmed,Frequently crash. You can't even log in. It says device connection problem with even strong Internet connection.,1,16,24.04.23,2024-04-25 17:54:38,24.04.23
64a2c9de-f4c4-4260-a4b4-f1000130b3c9,Addis Kassahun,its to be called wonderful,5,1,24.03.04,2024-04-25 08:10:24,24.03.04
7b1ddf26-0977-4ada-b402-737365e659b1,Fast Fast,Wonderful app,3,2,24.03.04,2024-04-25 00:30:18,24.03.04
48eae21a-d134-4cd1-8324-8bf1ede672ba,Abduraman Munir,Great app I love it,4,1,24.03.04,2024-04-24 23:01:41,24.03.04
dadac710-982a-4fd6-9208-10c073da0477,Kiyar Husen,መጀመሪያ ደህና ነበረ አሁን ግን ሲስተም አርጎ እየዘረፉን ነው ብር ወደ አፖሎ ገባ ማለት ማውጣቱ መከረ,1,0,24.03.04,2024-04-24 22:04:54,24.03.04
2fda245d-9ad3-4e66-9290-8a8a60c635c6,Bedru Nuri,Nice app,5,1,24.03.04,2024-04-24 18:13:50,24.03.04
4f4dc655-5fb8-4d48-9cd0-6134946ca6eb,Degole Chacha,❤,5,1,24.03.04,2024-04-24 17:30:57,24.03.04
1ee008c8-8bad-4746-8dc5-3fa7827ae345,Amare,I revewd this app,5,1,24.04.23,2024-04-24 17:21:51,24.04.23
a165692c-8f97-4a9a-a2e0-6f0b8d1fa79d,ቃለአብ አለሙ,"Easy platform, Cheap service fee and interest rate with self onboarding financial service.",4,12,24.04.23,2024-04-24 15:35:35,24.04.23
8da6bb0c-cb5a-4b0a-aca1-325a71c7a7d1,Tedros tsegay,It's modern technology of users bank of abesinia,5,1,24.03.04,2024-04-24 15:03:17,24.03.04
2dcc35c2-e466-4bfe-bd17-a65f32c2970e,Orase oshora Olle,whay,5,1,24.04.23,2024-04-24 11:30:07,24.04.23
71c45a1b-1423-48c2-ae76-431b4390b8cf,Mame Man,አብታሙ ከድሬ,1,0,23.10.24,2024-04-24 02:49:12,23.10.24
d4fef4bd-28d4-45f5-885b-259d7d4378ed,Gemechis Ejeta H.,"Apollo App Developers, I'm writing to express my disappointment with the underperformance of the Apollo app. The app freezing repeatedly has prevented me from completing urgent personal and business transactions, leading others to question my loyalty and reliability. Additionally, the microloan feature denied my requests without valid reasons. I kindly request that you prioritize resolving these issues professionally. Hope to see a few improvements in the app's performance soon, as solutions.",1,113,24.03.04,2024-04-23 22:37:47,24.03.04
4049ee0c-beb4-4899-a945-9aa89e7d86f4,Alemayehu Gella,"it's very slow app i have ever seen, it doesn't work mostly ....don't download it.",1,4,24.03.04,2024-04-23 17:49:32,24.03.04
3af94ce3-22c7-4501-9be2-7ef9e2e40dd8,Yonatan Ayalew,"I do enjoy the services, Often though it's shows various errors when trying to log in.",3,15,23.07.08,2024-04-23 13:23:47,23.07.08
d2310daf-145e-4b6f-be04-050259f0d93a,Samuel Belayneh Debele,👍👍👍wow abisseniya bank thank you somuch,5,1,24.03.04,2024-04-23 12:48:09,24.03.04
ff5678b2-aa15-436f-8fd4-ce329db2ab05,Santo K. Garcia,"Terrible app, it keeps crushing every time I open it",1,1,24.03.04,2024-04-22 23:01:06,24.03.04
39aaf41a-d4ff-49dd-be5a-dd3c11df8016,hamza idris,Keep it up,5,1,24.03.04,2024-04-22 02:50:09,24.03.04
b6a5ebe5-0be6-4e99-a3c0-6a815146d722,Yohannes Antonios,Woow,5,1,24.03.04,2024-04-20 22:39:26,24.03.04
735c52fc-ec6d-4281-908a-16375986049e,Samuel Tegegn,Poor.,1,0,24.03.04,2024-04-20 21:34:57,24.03.04
41b2eab6-ba55-4575-aa9c-8e32d9740580,kiki jocker,The app has bugs ..,4,2,24.03.04,2024-04-19 23:08:40,24.03.04
f85f325d-6a52-47a7-a220-6c9a9ad3a35f,Hero Man,The app isn't working. I tried many times to register but didn't happen,1,3,24.03.04,2024-04-19 23:03:41,24.03.04
f574c7c4-7d1a-4d28-a541-c947392a4bba,Haimanot Seife,Best app,5,1,24.03.04,2024-04-19 22:51:54,24.03.04
c922cd20-8d84-4e16-b483-cbd0e6b43777,JOHN ISAAC,Trash app waste of money guys first it would let u transfer money but it will block u to transfer out of the account by saying you are not verified i tried reaching out to them but still no reponse the biggest scammer app👎👎👎,1,21,24.03.04,2024-04-19 19:12:34,24.03.04
4bd670d5-6ff0-4bff-9433-556ee76b953e,Tahir Raya,Good,5,1,24.02.14,2024-04-19 17:56:59,24.02.14
8ace03cf-8669-4d11-a17a-1b4d42efa06f,Hiruy,ያምራል,5,1,24.03.04,2024-04-19 13:15:04,24.03.04
358a53a8-e15d-451f-a8ab-383d5c3b32ea,Kalid Folk,"How long does it take people to open an apollo account? Definitely more than 1 hour Which platform takes more than an hour to open an account World class?? None maximum 15m or maybe 30minutes if it's a difficult process.But this is simple take a long time.It's boring I installed it this morning,tried to open an account and i gave up.or you can hire a software developer from a foreign country.If this is the result of developers of our country.Because there are many options for users these days.",1,2,24.03.04,2024-04-19 10:35:37,24.03.04
be2f5845-b2ed-43b0-a8b8-44e1dee3331e,Fiyaye Mygift,Ma best,5,1,24.03.04,2024-04-18 18:49:47,24.03.04
eef45155-06e4-4a86-83b1-db16f5e61948,Habib tech,This app the best simple for using I paid my wifi bill using apollo app it's very good app tnx,5,6,24.03.04,2024-04-18 16:00:44,24.03.04
594b37ae-c8ef-4dec-9dcd-64b8261dc0ce,Tewodros Agafari,Good,5,1,24.03.04,2024-04-18 00:12:43,24.03.04
918a1bff-a52e-4a42-a037-c86cd62d1747,yonas Enawgaw,I expriance credit service from this digital banking system p,5,1,24.03.04,2024-04-17 19:02:24,24.03.04
b03c0026-c2a3-45f7-82dc-b6231fa6d8c7,Binyam Gezahegn,Bad application.. every single second crash,1,2,24.03.04,2024-04-17 12:16:04,24.03.04
22454abb-2428-48c0-96cd-aad536c03eb3,Fasika Biresaw,"It keeps closing itself and says, ""Apollo closed because this app has a bug. Try clearing the app's cache first, and then reopen the app.""",1,14,24.03.04,2024-04-16 12:28:14,24.03.04
158c2dc9-d079-4e3f-8528-b23f8635bb20,Hailu,"The app suddenly stops working too much late, response very weak.",3,5,24.03.04,2024-04-15 19:16:42,24.03.04
89bc8458-e6c3-4d5d-b3a5-65edbdc868f7,Selam Ayele,👪,5,1,24.03.04,2024-04-15 13:40:28,24.03.04
0a3cf5eb-757f-4ff7-bd01-1624badd35db,milliyon ashebir,goood,5,1,24.03.04,2024-04-14 16:34:04,24.03.04
be0dbb18-1ce6-4b6c-b1d5-bb65da0f8445,Dawit Yeshitela,This app doesn't work at all!,1,1,24.03.04,2024-04-14 11:50:12,24.03.04
cf5a9804-e18e-4201-a8d4-3b8fbf62cb2d,Natnael Tadesse,evenif i just updated my profile it keeps saying bucket overide i can't transfer my own money please fix it fast. even your call center can't fix it for me,3,7,24.03.04,2024-04-14 08:33:23,24.03.04
8c6272a3-e25a-430f-aafa-2ff6c7ca6c6d,hailu misganaw,በጣም አዝግ ነው፣1900 ላይ ያለ ባክዋርድ አይ ነው,1,0,24.03.04,2024-04-14 00:11:55,24.03.04
ed219dff-e2f9-4453-a72b-5f2fb2b8b619,Gemechu Birehanu (Game),Keeps crashing and my phone always ask me to uninstall it,1,1,24.03.04,2024-04-13 19:23:15,24.03.04
dcc0cced-7343-44b7-9fa5-d593d4593254,Amir Abel,Batam teru,5,0,24.03.04,2024-04-12 20:25:08,24.03.04
a1df1c5f-864a-46be-9617-629591e9a25e,Endalew Bishaw,"This app is not working anything, i don't expect from BOA it kills time,lose funds for customers",1,1,24.03.04,2024-04-12 12:44:04,24.03.04
